probe	HUGO.gene.symbol
AB020626	AB020626	NA
AB020627	AB020627	DNM3
AB020630	AB020630	PPP1R16B
AB020632	AB020632	NA
AB020633	AB020633	NA
AB020635	AB020635	NA
AB020636	AB020636	NA
AB020637	AB020637	NA
AB020640	AB020640	CAMTA1
AB020643	AB020643	GLCE
AB020644	AB020644	NA
AB020648	AB020648	NA
AB020649	AB020649	NA
AB020654	AB020654	TTBK2
AB020660	AB020660	NA
AB020663	AB020663	DMXL2
AB020668	AB020668	MCF2L2
AB020671	AB020671	NA
AB020672	AB020672	NA
AB020673	AB020673	MYH11
AB020676	AB020676	WWC1
AB020677	AB020677	DENND3
AB020681	AB020681	ANKRD12
AB020682	AB020682	FBXO21
AB020684	AB020684	NA
AB020689	AB020689	TBC1D9
AB020690	AB020690	PNMA2
AB020691	AB020691	NA
AB020694	AB020694	UBXD8
AB020695	AB020695	NA
AB020698	AB020698	USP19
AB020699	AB020699	KIAA0892
AB020702	AB020702	NA
AB020703	AB020703	EDD1
AB020704	AB020704	PPFIA4
AB020705	AB020705	TRIM37
AB020706	AB020706	AP2A2
AB020710	AB020710	EHBP1
AB020711	AB020711	NA
AB020713	AB020713	NUP210
AB020716	AB020716	CAMTA2
AB020719	AB020719	NA
AB020720	AB020720	NA
AB020725	AB020725	SLITRK5
AB021638	AB021638	APBA3
AB021641	AB021641	ZNF461
AB022178	AB022178	CALCR
AB022847	AB022847	NA
AB023135	AB023135	ICOS
AB023136	AB023136	NA
AB023139	AB023139	KIAA0922
AB023142	AB023142	CORO2B
AB023144	AB023144	NA
AB023147	AB023147	C22orf9
AB023148	AB023148	PHLPPL
AB023151	AB023151	DIP2C
AB023152	AB023152	MAN2B2
AB023154	AB023154	NA
AB023156	AB023156	SLC9A8
AB023160	AB023160	ATG4B
AB023161	AB023161	DNAH7
AB023163	AB023163	ZDHHC17
AB023164	AB023164	NA
AB023166	AB023166	CIT
AB023170	AB023170	NA
AB023173	AB023173	ATP11B
AB023175	AB023175	POFUT2
AB023177	AB023177	NA
AB023179	AB023179	DNAJC16
AB023182	AB023182	STK38L
AB023190	AB023190	MAST1
AB023191	AB023191	NA
AB023195	AB023195	ASXL1
AB023197	AB023197	NA
AB023198	AB023198	PIP5K3
AB023201	AB023201	NA
AB023203	AB023203	VPS13A
AB023210	AB023210	WDFY3
AB023211	AB023211	NA
AB023212	AB023212	NA
AB023215	AB023215	TTLL5
AB023216	AB023216	NA
AB023217	AB023217	NA
AB023221	AB023221	FBXL11
AB023222	AB023222	NA
AB023223	AB023223	NA
AB023227	AB023227	NA
AB023230	AB023230	NA
AB023232	AB023232	ZFP95
AB023233	AB023233	LRCH1
AB023420	AB023420	HSPA4
AB024704	AB024704	TPX2
AB025008	AB025008	CHIA
AB025254	AB025254	TDRD7
AB026048	AB026048	RBPSUHL
AB026054	AB026054	ZNF179
AB026436	AB026436	DUSP10
AB026542	AB026542	WASF2
AB027013	AB027013	NAP1L2
AB028019	AB028019	LATS2
AB028021	AB028021	FOXA2
AB028449	AB028449	DICER1
AB028943	AB028943	HIC2
AB028944	AB028944	ATP11A
AB028945	AB028945	SHANK2
AB028947	AB028947	NA
AB028949	AB028949	NA
AB028950	AB028950	TLN1
AB028953	AB028953	NA
AB028955	AB028955	NA
AB028957	AB028957	SATB2
AB028960	AB028960	NA
AB028962	AB028962	GARNL4
AB028963	AB028963	MON2
AB028966	AB028966	NA
AB028968	AB028968	NA
AB028972	AB028972	TCF25
AB028974	AB028974	PEG10
AB028976	AB028976	NA
AB028977	AB028977	NA
AB028978	AB028978	TBC1D2B
AB028980	AB028980	NA
AB028981	AB028981	DOCK9
AB028982	AB028982	SORCS3
AB028983	AB028983	ADCY2
AB028984	AB028984	FSTL4
AB028985	AB028985	ABCA2
AB028986	AB028986	NA
AB028987	AB028987	NA
AB028989	AB028989	MAPK8IP3
AB028990	AB028990	EXOC7
AB028991	AB028991	NA
AB028992	AB028992	PLCH1
AB028994	AB028994	AMOT
AB028998	AB028998	TENC1
AB028999	AB028999	NA
AB029000	AB029000	SULF1
AB029001	AB029001	CAMSAP1L1
