probe	HUGO.gene.symbol
Contig42789_RC	Contig42789_RC	NA
Contig42793_RC	Contig42793_RC	NA
Contig42795_RC	Contig42795_RC	NA
Contig42803_RC	Contig42803_RC	ARMC2
Contig42805_RC	Contig42805_RC	ZNF342
Contig42809_RC	Contig42809_RC	C2orf49
Contig42812_RC	Contig42812_RC	NA
Contig42813_RC	Contig42813_RC	NA
Contig42824_RC	Contig42824_RC	USP40
Contig42827_RC	Contig42827_RC	NA
Contig42831_RC	Contig42831_RC	BIRC4
Contig42832_RC	Contig42832_RC	NA
Contig42836	Contig42836	NA
Contig42854	Contig42854	NA
Contig42865_RC	Contig42865_RC	LEF1
Contig42867	Contig42867	NA
Contig42870_RC	Contig42870_RC	NA
Contig42880_RC	Contig42880_RC	NA
Contig42882_RC	Contig42882_RC	NA
Contig42884_RC	Contig42884_RC	NA
Contig42893	Contig42893	NA
Contig42894_RC	Contig42894_RC	NA
Contig42898_RC	Contig42898_RC	NA
Contig42902_RC	Contig42902_RC	NA
Contig42903_RC	Contig42903_RC	NA
Contig42906_RC	Contig42906_RC	C14orf8
Contig42907_RC	Contig42907_RC	NA
Contig42915_RC	Contig42915_RC	NA
Contig42919_RC	Contig42919_RC	FBN1
Contig42930_RC	Contig42930_RC	NA
Contig42932_RC	Contig42932_RC	FAM82A
Contig42933_RC	Contig42933_RC	NA
Contig42942_RC	Contig42942_RC	NA
Contig42949_RC	Contig42949_RC	COLEC11
Contig42954_RC	Contig42954_RC	NA
Contig42957_RC	Contig42957_RC	FRS2
Contig42959_RC	Contig42959_RC	GRAP
Contig42962_RC	Contig42962_RC	NA
Contig42973_RC	Contig42973_RC	NA
Contig42977_RC	Contig42977_RC	NA
Contig42997_RC	Contig42997_RC	NA
Contig43002_RC	Contig43002_RC	NA
Contig43008_RC	Contig43008_RC	NA
Contig43009_RC	Contig43009_RC	NA
Contig43019_RC	Contig43019_RC	TKTL2
Contig43022_RC	Contig43022_RC	NA
Contig43024_RC	Contig43024_RC	C11orf70
Contig43025_RC	Contig43025_RC	NA
Contig43026_RC	Contig43026_RC	TMEM64
Contig43027_RC	Contig43027_RC	NA
Contig43032_RC	Contig43032_RC	LYSMD4
Contig43034_RC	Contig43034_RC	NA
Contig43038_RC	Contig43038_RC	NA
Contig43039_RC	Contig43039_RC	NA
Contig43045_RC	Contig43045_RC	CHCHD4
Contig43054	Contig43054	ZNF552
Contig4305_RC	Contig4305_RC	DTX3
Contig43060_RC	Contig43060_RC	NA
Contig43065_RC	Contig43065_RC	NA
Contig43079_RC	Contig43079_RC	NA
Contig43080_RC	Contig43080_RC	SCRN2
Contig43083_RC	Contig43083_RC	NA
Contig43085_RC	Contig43085_RC	SNIP1
Contig43090_RC	Contig43090_RC	NA
Contig43093_RC	Contig43093_RC	CNIH2
Contig43096_RC	Contig43096_RC	NA
Contig43101_RC	Contig43101_RC	DUSP21
Contig43102_RC	Contig43102_RC	NA
Contig43105_RC	Contig43105_RC	NA
Contig43120_RC	Contig43120_RC	NA
Contig43129_RC	Contig43129_RC	DEFB126
Contig43133_RC	Contig43133_RC	NA
Contig43135_RC	Contig43135_RC	NA
Contig43136_RC	Contig43136_RC	ZMAT4
Contig43151_RC	Contig43151_RC	NA
Contig43166_RC	Contig43166_RC	C4orf26
Contig43167_RC	Contig43167_RC	NA
Contig43169_RC	Contig43169_RC	DDX51
Contig43182_RC	Contig43182_RC	NA
Contig43183	Contig43183	NA
Contig43184_RC	Contig43184_RC	NA
Contig43187_RC	Contig43187_RC	NA
Contig43188_RC	Contig43188_RC	NA
Contig43189_RC	Contig43189_RC	NA
Contig43192_RC	Contig43192_RC	NA
Contig43195_RC	Contig43195_RC	LEMD1
Contig43199_RC	Contig43199_RC	NA
Contig431_RC	Contig431_RC	NA
Contig43200_RC	Contig43200_RC	NA
Contig43202_RC	Contig43202_RC	NA
Contig43206_RC	Contig43206_RC	OVOL1
Contig43213	Contig43213	MCM6
Contig43214_RC	Contig43214_RC	NA
Contig43221_RC	Contig43221_RC	C17orf64
Contig43223_RC	Contig43223_RC	NA
Contig43226	Contig43226	NA
Contig43241_RC	Contig43241_RC	NA
Contig43244_RC	Contig43244_RC	NA
Contig43246_RC	Contig43246_RC	NA
Contig43249_RC	Contig43249_RC	NA
Contig4324_RC	Contig4324_RC	NA
Contig43253_RC	Contig43253_RC	NA
Contig43254_RC	Contig43254_RC	NA
Contig43262_RC	Contig43262_RC	NA
Contig43263_RC	Contig43263_RC	NA
Contig43269_RC	Contig43269_RC	NA
Contig43273_RC	Contig43273_RC	NA
Contig43277_RC	Contig43277_RC	ZC3H12B
Contig43279_RC	Contig43279_RC	DOCK11
Contig43287_RC	Contig43287_RC	C7orf46
Contig43289_RC	Contig43289_RC	NA
Contig43302_RC	Contig43302_RC	NA
Contig43303_RC	Contig43303_RC	NA
Contig43314_RC	Contig43314_RC	NA
Contig43322_RC	Contig43322_RC	RFC3
Contig43330_RC	Contig43330_RC	NA
Contig43332	Contig43332	NA
Contig43333_RC	Contig43333_RC	CDRT4
Contig43338_RC	Contig43338_RC	NA
Contig43343_RC	Contig43343_RC	NA
Contig43353_RC	Contig43353_RC	NA
Contig43354_RC	Contig43354_RC	CAB39L
Contig43357_RC	Contig43357_RC	NA
Contig43368_RC	Contig43368_RC	NA
Contig43373_RC	Contig43373_RC	NA
Contig43376_RC	Contig43376_RC	NA
Contig43380_RC	Contig43380_RC	NA
Contig43385_RC	Contig43385_RC	TMEM55A
Contig43393_RC	Contig43393_RC	C1orf76
Contig43401_RC	Contig43401_RC	NA
Contig43404_RC	Contig43404_RC	MAP9
Contig43409_RC	Contig43409_RC	NA
Contig43410_RC	Contig43410_RC	NA
Contig43415_RC	Contig43415_RC	NA
Contig43416_RC	Contig43416_RC	NA
Contig43419_RC	Contig43419_RC	NA
Contig43421_RC	Contig43421_RC	NA
Contig43431_RC	Contig43431_RC	TCHP
Contig43433_RC	Contig43433_RC	NA
Contig43435_RC	Contig43435_RC	NA
Contig43436_RC	Contig43436_RC	TMEM154
Contig43447_RC	Contig43447_RC	NA
Contig43449_RC	Contig43449_RC	NA
Contig43454_RC	Contig43454_RC	SIX5
Contig43460_RC	Contig43460_RC	NA
Contig43464_RC	Contig43464_RC	NA
Contig43466_RC	Contig43466_RC	NA
Contig43469_RC	Contig43469_RC	COG8
Contig43471_RC	Contig43471_RC	ZFP1
Contig43474_RC	Contig43474_RC	NA
Contig43475_RC	Contig43475_RC	ZNF546
Contig43476_RC	Contig43476_RC	GBP5
Contig43481_RC	Contig43481_RC	NA
Contig43486_RC	Contig43486_RC	NA
Contig43488_RC	Contig43488_RC	NA
Contig43493_RC	Contig43493_RC	ARID2
Contig43500_RC	Contig43500_RC	NA
Contig43502_RC	Contig43502_RC	NA
Contig43506_RC	Contig43506_RC	NA
Contig43513_RC	Contig43513_RC	NA
Contig43517_RC	Contig43517_RC	NA
Contig43518_RC	Contig43518_RC	NA
Contig43527	Contig43527	NA
Contig43529_RC	Contig43529_RC	NA
Contig43531_RC	Contig43531_RC	NA
Contig43534	Contig43534	NA
Contig43540_RC	Contig43540_RC	NA
Contig43541_RC	Contig43541_RC	NA
Contig43542_RC	Contig43542_RC	NA
Contig43543_RC	Contig43543_RC	IKZF4
Contig43544_RC	Contig43544_RC	NA
Contig43549_RC	Contig43549_RC	NA
Contig43558_RC	Contig43558_RC	VGLL2
Contig43562_RC	Contig43562_RC	C7orf10
Contig43572_RC	Contig43572_RC	NA
Contig43574_RC	Contig43574_RC	NA
Contig43581_RC	Contig43581_RC	NA
Contig43586_RC	Contig43586_RC	NA
Contig43594_RC	Contig43594_RC	NA
Contig43599_RC	Contig43599_RC	NA
Contig436	Contig436	NA
Contig43601_RC	Contig43601_RC	NA
Contig43613_RC	Contig43613_RC	BNC2
Contig43620_RC	Contig43620_RC	NA
Contig43621_RC	Contig43621_RC	MTAP
Contig43631_RC	Contig43631_RC	NA
Contig43632_RC	Contig43632_RC	NA
Contig43634_RC	Contig43634_RC	NA
Contig43639_RC	Contig43639_RC	NA
Contig43645_RC	Contig43645_RC	NA
Contig43648_RC	Contig43648_RC	NA
Contig43650_RC	Contig43650_RC	SPIRE2
Contig43654_RC	Contig43654_RC	NA
Contig43655_RC	Contig43655_RC	LRRC4
Contig43658_RC	Contig43658_RC	GLDN
Contig4365_RC	Contig4365_RC	TGOLN2
Contig43664_RC	Contig43664_RC	NA
Contig43667_RC	Contig43667_RC	NA
Contig43669_RC	Contig43669_RC	NA
Contig43673_RC	Contig43673_RC	NA
Contig43675_RC	Contig43675_RC	NA
Contig43678_RC	Contig43678_RC	IGFL2
Contig43679_RC	Contig43679_RC	NA
Contig43684	Contig43684	NA
Contig43687_RC	Contig43687_RC	C17orf74
Contig43688_RC	Contig43688_RC	NA
Contig43690_RC	Contig43690_RC	NA
Contig43694_RC	Contig43694_RC	TSPAN2
Contig43695_RC	Contig43695_RC	RABL3
Contig43701_RC	Contig43701_RC	SPATA4
Contig43703_RC	Contig43703_RC	NA
Contig43708_RC	Contig43708_RC	NA
Contig43710_RC	Contig43710_RC	NA
Contig43713_RC	Contig43713_RC	C3orf62
Contig43724_RC	Contig43724_RC	NA
Contig43725_RC	Contig43725_RC	NA
Contig4372_RC	Contig4372_RC	C10orf104
Contig43741_RC	Contig43741_RC	CIRH1A
Contig43742_RC	Contig43742_RC	NA
Contig43743_RC	Contig43743_RC	NA
Contig43746_RC	Contig43746_RC	NA
Contig43747_RC	Contig43747_RC	NA
Contig43749_RC	Contig43749_RC	ARHGAP19
Contig43750_RC	Contig43750_RC	NA
Contig43759_RC	Contig43759_RC	GRASP
Contig43760_RC	Contig43760_RC	NA
Contig43761_RC	Contig43761_RC	NA
Contig43777_RC	Contig43777_RC	XKRX
Contig4377_RC	Contig4377_RC	CHMP7
Contig43780_RC	Contig43780_RC	SALL1
Contig43781	Contig43781	NA
Contig43791_RC	Contig43791_RC	NA
Contig43793_RC	Contig43793_RC	NA
Contig43795_RC	Contig43795_RC	NA
Contig43798	Contig43798	NA
Contig437_RC	Contig437_RC	PHF5A
Contig43802_RC	Contig43802_RC	NA
Contig43806_RC	Contig43806_RC	NA
Contig43807_RC	Contig43807_RC	NA
Contig4380_RC	Contig4380_RC	NA
Contig43817_RC	Contig43817_RC	NA
Contig43818_RC	Contig43818_RC	NA
Contig43822_RC	Contig43822_RC	NA
Contig43823	Contig43823	NA
Contig43825_RC	Contig43825_RC	ZCCHC7
Contig43826_RC	Contig43826_RC	NA
Contig4382_RC	Contig4382_RC	NA
Contig43833_RC	Contig43833_RC	NA
Contig43834_RC	Contig43834_RC	NA
Contig43846_RC	Contig43846_RC	NA
Contig43851_RC	Contig43851_RC	NA
Contig43853_RC	Contig43853_RC	NA
Contig43857_RC	Contig43857_RC	MYPN
Contig43859_RC	Contig43859_RC	NA
Contig43865_RC	Contig43865_RC	NA
Contig43868_RC	Contig43868_RC	DCLRE1B
Contig43869_RC	Contig43869_RC	GNGT2
Contig43870_RC	Contig43870_RC	C2orf53
Contig43871_RC	Contig43871_RC	NA
Contig4388_RC	Contig4388_RC	ITM2C
Contig43892_RC	Contig43892_RC	NA
Contig43895_RC	Contig43895_RC	NA
Contig43897_RC	Contig43897_RC	NA
Contig43898_RC	Contig43898_RC	NA
Contig43899_RC	Contig43899_RC	NA
Contig438_RC	Contig438_RC	MTERFD2
Contig43905_RC	Contig43905_RC	NA
Contig43915_RC	Contig43915_RC	NA
Contig43918_RC	Contig43918_RC	NA
Contig43923_RC	Contig43923_RC	NA
Contig43927_RC	Contig43927_RC	NA
Contig43939_RC	Contig43939_RC	IL17D
Contig43943_RC	Contig43943_RC	LTB4DH
Contig43944_RC	Contig43944_RC	NA
Contig43945_RC	Contig43945_RC	NA
Contig43949_RC	Contig43949_RC	NA
Contig43960_RC	Contig43960_RC	NA
Contig43970_RC	Contig43970_RC	ALDH8A1
Contig43973	Contig43973	RSPRY1
Contig43974_RC	Contig43974_RC	NA
Contig43983_RC	Contig43983_RC	NA
Contig43988_RC	Contig43988_RC	RASSF6
Contig43989_RC	Contig43989_RC	NA
Contig43993_RC	Contig43993_RC	NA
Contig43998_RC	Contig43998_RC	HIST1H2AE
Contig4399_RC	Contig4399_RC	MYH9
Contig440	Contig440	NA
Contig44010_RC	Contig44010_RC	PI15
Contig44014_RC	Contig44014_RC	C14orf140
Contig44019_RC	Contig44019_RC	RASL10B
Contig44035	Contig44035	NA
Contig44038_RC	Contig44038_RC	NA
Contig44039_RC	Contig44039_RC	NA
Contig44040_RC	Contig44040_RC	IRX3
Contig44054_RC	Contig44054_RC	CALCOCO2
Contig44057_RC	Contig44057_RC	NA
Contig44059_RC	Contig44059_RC	ARHGAP24
Contig44064_RC	Contig44064_RC	NA
Contig44068_RC	Contig44068_RC	E2F7
Contig44076_RC	Contig44076_RC	NA
Contig44078	Contig44078	WDR36
Contig44088_RC	Contig44088_RC	NA
Contig44093_RC	Contig44093_RC	LHFPL4
Contig44105	Contig44105	OSBPL11
Contig44111_RC	Contig44111_RC	NA
Contig44123_RC	Contig44123_RC	NA
Contig44124_RC	Contig44124_RC	NA
Contig44132_RC	Contig44132_RC	NA
Contig44133_RC	Contig44133_RC	BCORL1
Contig44143	Contig44143	AFTPH
Contig44145_RC	Contig44145_RC	NA
Contig44152_RC	Contig44152_RC	NA
Contig44157_RC	Contig44157_RC	RNF166
Contig44158_RC	Contig44158_RC	NA
Contig44159_RC	Contig44159_RC	NA
Contig44164_RC	Contig44164_RC	NA
Contig44168_RC	Contig44168_RC	NA
Contig44174_RC	Contig44174_RC	C7orf31
Contig44175_RC	Contig44175_RC	KRT74
Contig44180_RC	Contig44180_RC	NA
Contig44186_RC	Contig44186_RC	NA
Contig44187_RC	Contig44187_RC	NA
Contig44191_RC	Contig44191_RC	ASCL1
Contig44192_RC	Contig44192_RC	CBL
Contig44195_RC	Contig44195_RC	NA
Contig44211_RC	Contig44211_RC	NA
Contig44221_RC	Contig44221_RC	NA
Contig44225_RC	Contig44225_RC	NA
Contig44226_RC	Contig44226_RC	TIGD2
Contig44236	Contig44236	C9orf93
Contig44242_RC	Contig44242_RC	NA
Contig44246_RC	Contig44246_RC	NA
Contig44251_RC	Contig44251_RC	NA
Contig44252_RC	Contig44252_RC	NA
Contig44254_RC	Contig44254_RC	NA
Contig44256_RC	Contig44256_RC	NA
Contig44257_RC	Contig44257_RC	NA
Contig44259_RC	Contig44259_RC	CXorf36
Contig44260_RC	Contig44260_RC	NA
Contig44261_RC	Contig44261_RC	C1orf87
Contig44262_RC	Contig44262_RC	NA
Contig44265_RC	Contig44265_RC	NA
Contig44268_RC	Contig44268_RC	NA
Contig44269_RC	Contig44269_RC	NA
Contig44271_RC	Contig44271_RC	NA
Contig44274_RC	Contig44274_RC	NA
Contig44278_RC	Contig44278_RC	NA
Contig44285_RC	Contig44285_RC	NA
Contig44286_RC	Contig44286_RC	JMJD2C
Contig44287_RC	Contig44287_RC	HRASLS5
Contig44289_RC	Contig44289_RC	NA
Contig44291_RC	Contig44291_RC	C12orf49
Contig442_RC	Contig442_RC	NA
Contig44309_RC	Contig44309_RC	ATP6V0A4
Contig44310_RC	Contig44310_RC	EPSTI1
Contig44311_RC	Contig44311_RC	NA
Contig44317_RC	Contig44317_RC	NA
Contig44320_RC	Contig44320_RC	LYZL4
Contig44324	Contig44324	NA
Contig44325_RC	Contig44325_RC	NA
Contig44331_RC	Contig44331_RC	PFN4
Contig44343	Contig44343	NA
Contig44347_RC	Contig44347_RC	TRIM9
Contig44358_RC	Contig44358_RC	NA
Contig44366	Contig44366	TMEM16C
Contig44368_RC	Contig44368_RC	NA
Contig44370	Contig44370	NA
Contig44382_RC	Contig44382_RC	NA
Contig44383_RC	Contig44383_RC	NA
Contig44384_RC	Contig44384_RC	NA
Contig44393_RC	Contig44393_RC	NA
Contig44398_RC	Contig44398_RC	NA
Contig44400_RC	Contig44400_RC	NA
Contig44409	Contig44409	NA
Contig44410_RC	Contig44410_RC	NA
Contig44413_RC	Contig44413_RC	KLHL6
Contig44414_RC	Contig44414_RC	SLC30A1
Contig44415	Contig44415	NA
Contig44423_RC	Contig44423_RC	NA
Contig44425_RC	Contig44425_RC	NA
Contig44431_RC	Contig44431_RC	NA
Contig44437_RC	Contig44437_RC	PHOSPHO1
Contig44439_RC	Contig44439_RC	NA
Contig44441_RC	Contig44441_RC	NA
Contig44451_RC	Contig44451_RC	NA
Contig44452_RC	Contig44452_RC	TMEM57
Contig44455_RC	Contig44455_RC	NA
Contig44462_RC	Contig44462_RC	C6orf81
Contig44468_RC	Contig44468_RC	ATP6V1G3
Contig44470_RC	Contig44470_RC	C6orf142
Contig44484_RC	Contig44484_RC	C12orf43
Contig44486_RC	Contig44486_RC	NA
Contig44492_RC	Contig44492_RC	NA
Contig44497_RC	Contig44497_RC	USP48
Contig44503_RC	Contig44503_RC	ZC3H6
Contig44508_RC	Contig44508_RC	ZNF561
Contig44512_RC	Contig44512_RC	NA
Contig44516_RC	Contig44516_RC	SH3PXD2A
Contig44518_RC	Contig44518_RC	FAM11A
Contig44519_RC	Contig44519_RC	NA
Contig44521_RC	Contig44521_RC	NA
Contig44530_RC	Contig44530_RC	NA
Contig44531_RC	Contig44531_RC	NA
Contig44534_RC	Contig44534_RC	NA
Contig44538_RC	Contig44538_RC	NA
Contig44544_RC	Contig44544_RC	NA
Contig44545_RC	Contig44545_RC	KRT71
Contig44548_RC	Contig44548_RC	NA
Contig44549_RC	Contig44549_RC	NA
Contig44551_RC	Contig44551_RC	NA
Contig44553_RC	Contig44553_RC	MAGEE1
Contig44558	Contig44558	PDPK1
Contig44561_RC	Contig44561_RC	NA
Contig44564_RC	Contig44564_RC	NA
Contig44568_RC	Contig44568_RC	NA
Contig44585_RC	Contig44585_RC	CDCA2
Contig44587_RC	Contig44587_RC	NA
Contig44593_RC	Contig44593_RC	NA
Contig44595_RC	Contig44595_RC	EFCAB4A
Contig44596_RC	Contig44596_RC	PPIL3
Contig44604_RC	Contig44604_RC	NA
Contig44605_RC	Contig44605_RC	WDR33
Contig4460_RC	Contig4460_RC	FAM107B
Contig44611_RC	Contig44611_RC	SAMD9L
Contig44613	Contig44613	NA
Contig44615_RC	Contig44615_RC	NA
Contig44616_RC	Contig44616_RC	CDR2L
Contig44622_RC	Contig44622_RC	YIPF5
Contig44623_RC	Contig44623_RC	UNC5A
Contig44624_RC	Contig44624_RC	NA
Contig44629_RC	Contig44629_RC	SHPRH
Contig44631_RC	Contig44631_RC	NA
Contig44640_RC	Contig44640_RC	NA
Contig44641_RC	Contig44641_RC	NA
Contig44644	Contig44644	ABCA5
Contig44650_RC	Contig44650_RC	NA
Contig44651_RC	Contig44651_RC	UPP2
Contig44652_RC	Contig44652_RC	NA
Contig44655_RC	Contig44655_RC	NA
Contig44656_RC	Contig44656_RC	NA
Contig44659_RC	Contig44659_RC	NA
Contig4467_RC	Contig4467_RC	ZCCHC3
Contig44682_RC	Contig44682_RC	NA
Contig44689_RC	Contig44689_RC	NA
Contig44690_RC	Contig44690_RC	NA
Contig44692	Contig44692	NA
Contig44693_RC	Contig44693_RC	NA
Contig44694_RC	Contig44694_RC	NA
Contig44697_RC	Contig44697_RC	DGCR8
Contig44703_RC	Contig44703_RC	NA
Contig44707_RC	Contig44707_RC	NA
Contig44708_RC	Contig44708_RC	BCAT1
Contig44712_RC	Contig44712_RC	NA
Contig44713	Contig44713	NA
Contig44720_RC	Contig44720_RC	PUS3
Contig44723_RC	Contig44723_RC	NA
Contig44727_RC	Contig44727_RC	NA
Contig44729_RC	Contig44729_RC	NA
Contig44736	Contig44736	NA
Contig44738_RC	Contig44738_RC	PAQR8
Contig44740_RC	Contig44740_RC	STK32C
Contig44751_RC	Contig44751_RC	NA
Contig44757_RC	Contig44757_RC	NA
Contig44758_RC	Contig44758_RC	C5orf34
Contig44759_RC	Contig44759_RC	BMP8A
Contig44771_RC	Contig44771_RC	NA
Contig44782_RC	Contig44782_RC	NA
Contig44793	Contig44793	NA
Contig44799_RC	Contig44799_RC	NA
Contig44805_RC	Contig44805_RC	NA
Contig44817_RC	Contig44817_RC	NA
Contig44829_RC	Contig44829_RC	NA
Contig4483_RC	Contig4483_RC	C19orf10
Contig44841_RC	Contig44841_RC	NA
Contig44865_RC	Contig44865_RC	SPATA9
Contig44867_RC	Contig44867_RC	RGS4
Contig44870	Contig44870	PARD6B
Contig44874_RC	Contig44874_RC	NA
Contig44877_RC	Contig44877_RC	NA
Contig44882_RC	Contig44882_RC	NA
Contig44886_RC	Contig44886_RC	NA
Contig44887_RC	Contig44887_RC	NA
Contig44888_RC	Contig44888_RC	FAM24B
Contig44889_RC	Contig44889_RC	CEP76
Contig44890_RC	Contig44890_RC	NA
Contig44893_RC	Contig44893_RC	SLC35F2
Contig448_RC	Contig448_RC	GPM6B
Contig44903	Contig44903	TUBD1
Contig44904_RC	Contig44904_RC	NA
Contig44909_RC	Contig44909_RC	BATF2
Contig44912_RC	Contig44912_RC	TSEN2
Contig44916_RC	Contig44916_RC	SUHW2
Contig44917	Contig44917	NA
Contig44919_RC	Contig44919_RC	NA
Contig44936	Contig44936	NA
Contig44939_RC	Contig44939_RC	FAM105B
Contig44941_RC	Contig44941_RC	HPCAL4
Contig44944_RC	Contig44944_RC	MUTED
Contig44952_RC	Contig44952_RC	NA
Contig44953_RC	Contig44953_RC	NA
Contig44954_RC	Contig44954_RC	NA
Contig44957_RC	Contig44957_RC	NA
Contig44962_RC	Contig44962_RC	NA
Contig44963_RC	Contig44963_RC	NA
Contig44964_RC	Contig44964_RC	TUSC1
Contig44976_RC	Contig44976_RC	NA
Contig44981_RC	Contig44981_RC	AADACL2
Contig44986_RC	Contig44986_RC	NA
Contig44987_RC	Contig44987_RC	NA
Contig45001_RC	Contig45001_RC	NA
Contig45004_RC	Contig45004_RC	NA
Contig4500_RC	Contig4500_RC	NA
Contig45011_RC	Contig45011_RC	KIAA1715
Contig45014_RC	Contig45014_RC	NA
Contig45020_RC	Contig45020_RC	NA
Contig45021_RC	Contig45021_RC	NA
Contig45022_RC	Contig45022_RC	NA
Contig45023_RC	Contig45023_RC	NA
Contig45024_RC	Contig45024_RC	NA
Contig45025_RC	Contig45025_RC	NA
Contig45026_RC	Contig45026_RC	NA
Contig45029_RC	Contig45029_RC	NA
Contig45032_RC	Contig45032_RC	MASTL
Contig45037_RC	Contig45037_RC	NA
Contig45041_RC	Contig45041_RC	DHRS12
Contig45046_RC	Contig45046_RC	NA
Contig45049_RC	Contig45049_RC	FUT4
Contig45051_RC	Contig45051_RC	NA
Contig45062_RC	Contig45062_RC	NA
Contig45068_RC	Contig45068_RC	NA
Contig45080_RC	Contig45080_RC	NA
Contig45081_RC	Contig45081_RC	GFI1B
Contig45082_RC	Contig45082_RC	NA
Contig45085_RC	Contig45085_RC	ATP6V0A2
Contig45086_RC	Contig45086_RC	TRIM54
Contig45090_RC	Contig45090_RC	NA
Contig45091_RC	Contig45091_RC	NA
Contig45093_RC	Contig45093_RC	NA
Contig45095_RC	Contig45095_RC	NA
Contig450_RC	Contig450_RC	DGCR8
Contig45100_RC	Contig45100_RC	NA
Contig45104_RC	Contig45104_RC	NA
Contig45107_RC	Contig45107_RC	NA
Contig45108_RC	Contig45108_RC	CNTN2
Contig45112_RC	Contig45112_RC	TWSG1
Contig45113_RC	Contig45113_RC	NA
Contig45115_RC	Contig45115_RC	NRAP
Contig45118_RC	Contig45118_RC	NA
Contig45119_RC	Contig45119_RC	NA
Contig45122_RC	Contig45122_RC	NA
Contig45125_RC	Contig45125_RC	NA
Contig45128	Contig45128	LRFN5
Contig45133_RC	Contig45133_RC	NA
Contig45135	Contig45135	NA
Contig45138_RC	Contig45138_RC	NA
Contig45139_RC	Contig45139_RC	NA
Contig45156_RC	Contig45156_RC	KIF12
Contig45161_RC	Contig45161_RC	ARMCX5
Contig45166_RC	Contig45166_RC	NA
Contig45173_RC	Contig45173_RC	NA
Contig45174_RC	Contig45174_RC	NA
Contig45185_RC	Contig45185_RC	NA
Contig45187_RC	Contig45187_RC	TMEM110
Contig45190_RC	Contig45190_RC	LDHD
Contig45195_RC	Contig45195_RC	SLC8A1
Contig45197_RC	Contig45197_RC	ACY3
Contig45201_RC	Contig45201_RC	C1QTNF2
Contig45209_RC	Contig45209_RC	FASTKD5
Contig45212_RC	Contig45212_RC	LIN9
Contig45221_RC	Contig45221_RC	FCRL1
Contig45226_RC	Contig45226_RC	NA
Contig45228_RC	Contig45228_RC	NA
Contig45230_RC	Contig45230_RC	NA
Contig45232_RC	Contig45232_RC	PDZD4
Contig45239_RC	Contig45239_RC	LY6G5C
Contig45258_RC	Contig45258_RC	NA
Contig45266	Contig45266	NA
Contig45267_RC	Contig45267_RC	MRPL19
Contig45272_RC	Contig45272_RC	NA
Contig45273_RC	Contig45273_RC	OLIG1
Contig45274_RC	Contig45274_RC	ZNF509
Contig45277_RC	Contig45277_RC	NA
Contig45279_RC	Contig45279_RC	NA
Contig45290_RC	Contig45290_RC	NA
Contig45291_RC	Contig45291_RC	NES
Contig45298_RC	Contig45298_RC	NA
Contig45303_RC	Contig45303_RC	NA
Contig45304_RC	Contig45304_RC	ALKBH3
Contig45305_RC	Contig45305_RC	C17orf53
Contig45306_RC	Contig45306_RC	NA
Contig45307_RC	Contig45307_RC	TIGD3
Contig45312_RC	Contig45312_RC	EIF4E
Contig45316_RC	Contig45316_RC	PTPLB
Contig45318_RC	Contig45318_RC	GJA5
Contig45320_RC	Contig45320_RC	ZSWIM3
Contig45321	Contig45321	NA
Contig45328_RC	Contig45328_RC	NA
Contig45338_RC	Contig45338_RC	NA
Contig45343_RC	Contig45343_RC	KCNC4
Contig45345_RC	Contig45345_RC	NA
Contig45346_RC	Contig45346_RC	C19orf51
Contig45347_RC	Contig45347_RC	KIAA1683
Contig45348_RC	Contig45348_RC	NA
Contig45351_RC	Contig45351_RC	NA
Contig45355_RC	Contig45355_RC	NA
Contig45358_RC	Contig45358_RC	SEPT12
Contig45367_RC	Contig45367_RC	BNC2
Contig45368_RC	Contig45368_RC	NA
Contig45370_RC	Contig45370_RC	ESCO1
Contig45375_RC	Contig45375_RC	RABEP2
Contig45376_RC	Contig45376_RC	NA
Contig45377_RC	Contig45377_RC	PEO1
Contig45380	Contig45380	NA
Contig45381_RC	Contig45381_RC	NA
Contig45385_RC	Contig45385_RC	ZC3H10
Contig45388_RC	Contig45388_RC	CLK4
Contig45389_RC	Contig45389_RC	NA
Contig4539	Contig4539	RHOBTB3
Contig45390	Contig45390	NA
Contig45395_RC	Contig45395_RC	NA
Contig45396_RC	Contig45396_RC	NA
Contig45397_RC	Contig45397_RC	ZNF92
Contig453_RC	Contig453_RC	NA
Contig45410_RC	Contig45410_RC	NA
Contig45418_RC	Contig45418_RC	NA
Contig45419_RC	Contig45419_RC	NA
Contig45437	Contig45437	NA
Contig45440_RC	Contig45440_RC	NA
Contig45441_RC	Contig45441_RC	NA
Contig45442_RC	Contig45442_RC	NA
Contig45443_RC	Contig45443_RC	INSR
Contig45445_RC	Contig45445_RC	NA
Contig45450_RC	Contig45450_RC	GARNL3
Contig45454_RC	Contig45454_RC	RTN4R
Contig45455_RC	Contig45455_RC	NA
Contig45456_RC	Contig45456_RC	NA
Contig45457_RC	Contig45457_RC	CYP4F12
Contig45464_RC	Contig45464_RC	NA
Contig45465_RC	Contig45465_RC	C3orf54
Contig45469_RC	Contig45469_RC	NA
Contig45491_RC	Contig45491_RC	NA
Contig45495_RC	Contig45495_RC	NA
Contig45505_RC	Contig45505_RC	NA
Contig45511_RC	Contig45511_RC	HS6ST2
Contig45519_RC	Contig45519_RC	FAM59A
Contig45522_RC	Contig45522_RC	NA
Contig45523_RC	Contig45523_RC	OTUB2
Contig45531_RC	Contig45531_RC	NA
